film,rating,date,liked,log_date,country,studio,primary_language,genres,director,actors
The Beasts,6,2022,false,2023-12-29,France,Le Pacte,Galician,"['Drama', 'Thriller']",Rodrigo Sorogoyen,"['Marina Foïs', 'Denis Ménochet', 'Luis Zahera', 'Diego Anido', 'Marie Colomb', 'Machi Salgado', 'David Menéndez', 'Luisa Merelas', 'José Manuel Fernández y Blanco', 'Federico Pérez Rey', 'Javier Varela', 'Xavier Estévez', 'Gonzalo García', 'Pepo Suevos', 'Emile Duthu', 'Luis P. Martínez', 'Melchor López', 'José Antonio Fernández', 'Ramón Porto', 'Poli Suárez', 'Faustino Álvarez', 'José Manuel García Soria', 'Mercedes Samprón Pérez', 'Marta Lado', 'Evaristo Calvo', 'Aurelio Alanso', 'Eduardo Silva', 'Cheli Frade', 'Cristophe Lago', 'Mardom', 'Javier Pato', 'Sandra García Ramos', 'Alba Pego', 'Manuel Vecín González', 'María Blanca Díaz', 'Elisa García', 'Quini Novoa', 'Roi Vicente Monteagudo', 'Pablo Silva Prado', 'Diego Otero Bello']"
The Settlers,6,2023,false,2023-12-28,Argentina,Ciné-Sud Promotion,Spanish,"['Western', 'Drama']",Felipe Gálvez,"['Camilo Arancibia', 'Heinz K. Krattiger', 'Mark Stanley', 'Alfredo Castro', 'Benjamín Westfall', 'Agustín Rittano', 'Juan Imbert', 'Mariano Monsalve', 'Mariano Llinás', 'Maxmiliano Speranza', 'Joaquin Gabriel Pereira', 'Daniel Sanchez', 'Gianna Soledad Ceballos', 'Sam Spruell', 'Jorge Ojeda', 'Iván Granovsky', 'Santiago Gallelli', 'Mishell Guaña', 'Manuela Silva', 'Emily Orueta', 'Adriana Stuven', 'Luis Machín', 'Alma Azul', 'Facundo Aquinos', 'Marcelo Alonso', 'Fernando Yuken Espinosa', 'Bianca Pujía Levy', 'Julieta Ruiz']"
Killers of the Flower Moon,7,2023,false,2023-12-26,USA,Apple Studios,English,"['History', 'Crime', 'Drama']",Martin Scorsese,"['Leonardo DiCaprio', 'Robert De Niro', 'Lily Gladstone', 'Jesse Plemons', 'Tantoo Cardinal', 'John Lithgow', 'Brendan Fraser', 'Cara Jade Myers', 'JaNae Collins', 'Jillian Dion', 'Jason Isbell', 'William Belleau', 'Louis Cancelmi', 'Scott Shepherd', 'Everett Waller', 'Tahlee Redcorn', 'Yancey Red Corn', 'Tatanka Means', 'Tommy Schultz', 'Sturgill Simpson', 'Ty Mitchell', 'Gary Basaraba', 'Charlie Musselwhite', 'Pat Healy', 'Steve Witting', 'Steve Routman', 'Gene Jones', 'Michael Abbott Jr.', 'J.C. MacKenzie', 'Jack White', 'Larry Sellers', 'Barry Corbin', 'Gabriel Casdorph', 'Wally Welch', 'James Roman Dailey Jr.', 'Christopher Cote', 'Randy Houser', 'Moe Headrick', 'Pete Yorn', 'Margaret Shannon-Sisk', 'Moira Redcorn', 'Chase Parker', 'Jarad Looper', 'John Gibbs', 'Jerry Logsdon', 'Jacob Lux', 'Xavier Toehay', 'Mike Cook', 'Katherine Willis', 'Delani Chambers', 'Zachary Hokeah', 'Talon Satepauhoodle', 'Chance Rush', 'Dana Daylight', 'Mahada Sanders', 'Jennifer Rader', 'Ben Hall', 'John Q. Wilson', 'Beau Smith', 'Victor McCay', 'Nathalie Standingcloud', 'Jay Paulson', 'Marvin E. Stepson Jr.', 'Tracey Ann Moore', 'Easton Wade Yellowfish', 'Reignen Yellowfish', 'Candice Costello', 'Father Chris Daigle', 'Jerry Wolf', 'Addie Roanhorse', 'Justin France', 'Erica Pretty Eagle Moore', 'Mason Cunningham', 'Norma Jean', 'Elisha Pratt', 'Desireee Storm Brave', 'Margaret Gray', 'Christopher Hill', 'Dolan Wilson', 'Jackie Wyatt', 'Rayna Gellert', 'Nokosee Fields', 'Kieran Kane', 'Lucas Ross', 'Elijah Cemp Ragsdale', 'Vanessa Rose Pham', 'Terry Allen', 'Jo Harvey Allen', 'Sarah Spurger', 'Joshua Close', 'Elden Henson', 'Kinsleigh McNac', 'Roanin Davis', 'David Fields', 'Anthony J. Harvey', 'Stephen Berkman', 'Joseph Spinelli', 'William Alyn Hill', 'Blaine Hall', 'Brent Langdon', 'Leland Prater', 'DJ Whited', 'Elizabeth Waller', 'Jessica Harjo', 'Joey Oglesby', 'Alexis Ann', 'Gary S. Pratt', 'Nathaniel Arcand', 'Lee Eddy', 'Kristin Keith', 'Bravery Nowlin', 'Edward Gray Sr.', 'Angela Pratt', 'Henry Amos Gray', 'Samuel Gray', 'Edward Gray Jr.', 'Mamie Cozad', 'Shonagh Smith', 'Joel Tallchief Lemon', 'Richard Lookout RulingHisSun', 'Brett Bower', 'Garrison Panzer', 'River Rhoades', 'Zack T. Morris', 'Harrison Shackelford', 'Alexis Waller', 'Mark Landon Smith', 'Tom Ashmore', 'Myron F. Red Eagle', 'Dolores Marie Goodeagle', 'Matt Tolentino', 'Johnny Baier', 'Gregory Fallis', 'Patrick Bubert', 'TJ Muller', 'Will Reardon-Anderson', 'Peter Reardon-Anderson', 'Kyle Dillingham', 'Jacob Johnson', 'Jeffrey Stevenson', 'Clint Rohr', 'D. Reride Smith', 'Samuel French', 'James Healy Jr.', 'Jeremy Goodvoice', 'Ron McMahan', 'Seth Buckminster', 'Penny Potts', 'Melissa Tiger', 'Karen Garlitz', 'Bronson Redeagle', 'Jenny Paige Lynn', 'David Born', 'Mary Buss', 'Ted Welch', 'Carl Palmer', 'Tanner Brantley', 'Jezy Gray', 'Steve Eastin', 'Joe Chrest', 'Brian Shoop', 'James Carroll', 'Lux Britni Malaske', 'Adam Washington', 'Larry Jack Dotson', 'Larry Fessenden', 'Welker White', 'Martin Scorsese', 'Marko Costanzo', 'Nicholas White', 'Rob Fisher', 'Vince Giordano', 'Paul Woodiel', 'Andy Stein', 'Sam Bardfeld', 'Joe Boga', 'Jon-Erik Kellso', 'Jim Fryer', 'Marc Phaneuf', 'Mark Lopeman', 'Chris Byars', 'Vinny Raniolo', 'Paul Wells', 'Peter Yarin', 'Scott George', 'Kenneth Bighorse Jr.', 'Vann Bighorse', 'Anna L. Bighorse', 'Mason Bighorse', 'Norris Bighorse', 'Scott Bighorse', 'Paul Bighorse', 'Taveah Ann George', 'Wahwastoas J. Jones', 'Dobbin Monoessy Knifechief', 'Julia Lookout', 'Jennifer Moses', 'Francis Pipestem Jr.', 'Michael Paul Pahsetopah', 'Silas Satepauhoodle', 'Cherylyn Oberly Satepauhoodle', 'Charisse Satepauhoodle', 'Lynette Satepauhoodle', 'John Shaw', 'Angela Toineeta Satepauhoodle', 'Alexandria Toineeta', 'Ed Yellowfish', 'Danny Frost', 'Eric Parkinson']"
The Killing of a Sacred Deer,5,2017,false,2023-12-25,UK,Element Pictures,English,"['Thriller', 'Mystery', 'Drama']",Yorgos Lanthimos,"['Colin Farrell', 'Nicole Kidman', 'Barry Keoghan', 'Raffey Cassidy', 'Sunny Suljic', 'Bill Camp', 'Alicia Silverstone', 'Herb Caillouet', 'Barry G. Bernson', 'Denise Dal Vera', 'Drew Logan', 'Ming Wang', 'Michael Trester', 'Anita Farmer Bergman', 'Lea Hutton Beasmore', 'Dylan Keith Adams', 'Charles Poole', 'John W. Harden', 'Bryant Bentley', 'Aaron Pullins IV', 'Joanne Popolin', 'Carly Tamborski', 'David Pittinger', 'Michael Lee Bailey', 'John Newsom', 'Robert Gerding', 'William C. Ingram', 'Beverly Kristy', 'Derek Polen', 'John E. Brownlee']"
Saltburn,9,2023,true,2023-12-24,UK,LuckyChap Entertainment,English,"['Comedy', 'Drama', 'Thriller']",Emerald Fennell,"['Barry Keoghan', 'Jacob Elordi', 'Rosamund Pike', 'Richard E. Grant', 'Alison Oliver', 'Archie Madekwe', 'Carey Mulligan', 'Paul Rhys', 'Ewan Mitchell', 'Sadie Soverall', 'Richard Cotterell', 'Millie Kent', 'Will Gibson', 'Tasha Lim', 'Aleah Aberdeen', 'Matthew Carver', 'Reece Shearsmith', 'Gabriel Bisset-Smith', 'Saga Spjuth-Säll', 'Glyn Grimstead', 'Joshua Samuels', 'Julian Lloyd Patten', 'Olivia Hanrahan-Barnes', 'Lolly Adefope', 'Joshua McGuire', 'Dorothy Atkinson', 'Shaun Dooley', 'Tomás Barry', 'Andy Brady']"
No Hard Feelings,6,2023,false,2023-12-24,USA,Excellent Cadaver,English,"['Comedy', 'Romance']",Gene Stupnitsky,"['Jennifer Lawrence', 'Andrew Barth Feldman', 'Laura Benanti', 'Natalie Morales', 'Matthew Broderick', 'Scott MacArthur', 'Ebon Moss-Bachrach', 'Kyle Mooney', 'Hasan Minhaj', 'Jordan Mendoza', 'Amalia Yoo', 'Alysia Joy Powell', 'Quincy Dunn-Baker', 'Matthew Noszka', 'Zahn McClarnon', 'Madison Odenborg', 'Achi Miller', 'Christian Galvis', 'Matt Walton', 'Christina Catechis', 'Christopher Bailey', 'Eason Rytter', 'Abigail Hupp', 'Jacob Augustin', 'Brendan Kispert', 'Ethan Metz', 'Alaina Surgener', 'Sejal Joshi', 'Victor Verhaeghe', ""Kelley Rae O'Donnell"", 'Katie Johantgen', 'Ari Frenkel', 'Luca Padovan', 'John DeMari', 'Grant Harrison Mateo', 'Madison McBride', 'Ben Heineman', 'Julia DeMoura Braine', 'Sophie Tananbaum', 'Melissa Lehman', 'Isabelle Fisher', 'Roman Caposino', 'Brian Calì', 'Leo Easton Kelly', 'Darren Valinotti', 'Alex Tomais', 'Earl Rose']"
Leave the World Behind,5,2023,false,2023-12-11,USA,Esmail Corp,English,"['Thriller', 'Drama', 'Mystery']",Sam Esmail,"['Julia Roberts', 'Ethan Hawke', 'Mahershala Ali', ""Myha'la"", 'Farrah Mackenzie', 'Charlie Evans', 'Kevin Bacon', 'Vanessa Aspillaga', 'Orli Gottesman', 'Alexis Rae Forlenza', 'Josh Drennen', 'Erica Cho', 'Pavel Frolov', 'Jesse King', 'Kevin Kenny', 'Stephanie Groves', 'Sam Esmail', 'Heather Lee']"
The Hunger Games: Catching Fire,7,2013,false,2023-11-19,USA,Lionsgate,English,"['Science Fiction', 'Adventure', 'Action']",Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Donald Sutherland', 'Lenny Kravitz', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Toby Jones', 'Willow Shields', 'Sam Claflin', 'Lynn Cohen', 'Jena Malone', 'Bobby Jordan', 'Amanda Plummer', 'Jack Quaid', 'Taylor St. Clair', 'Sandra Ellis Lafferty', 'Paula Malcomson', 'Brooke Bundy', 'Nelson Ascencio', 'Afemo Omilami', 'Kimberley Drummond', 'Deena Beasley', 'Leon Lamar', 'Mandy Neuhaus', 'Erika Bierman', 'Wilbur Fitzgerald', 'Patrick St. Esprit', 'Jill Jane Clements', 'James Sutton', 'Alan Ritchson', 'Stephanie Leigh Schlund', 'Meta Golding', 'Megan Hayes', 'Stef Dawson', 'James Logan', 'E. Roger Mitchell', 'Bruno Gunn', 'Maria Howell', 'Judd Lormand', 'Elena Sanchez', 'John Casino', 'Marian Green', 'Daniel Bernhardt', 'Ravi Naidu', 'Franco Castan', 'Jared Allman', 'Laura Avnaim', 'Noëlle Renée Bercy', 'Jackson Spidell', 'Nickolas Wolf', 'Moses J. Moseley', 'Justin Hix']"
The Hunger Games,6,2012,false,2023-11-18,USA,Lionsgate,English,"['Fantasy', 'Science Fiction', 'Adventure']",Gary Ross,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Lenny Kravitz', 'Stanley Tucci', 'Donald Sutherland', 'Wes Bentley', 'Toby Jones', 'Alexander Ludwig', 'Isabelle Fuhrman', 'Amandla Stenberg', 'Willow Shields', 'Sandra Ellis Lafferty', 'Paula Malcomson', 'Rhoda Griffis', 'Sandino Moya-Smith', 'Raiko Bowman', 'Dwayne Boyd', 'Anthony Reynolds', 'Judd Lormand', 'Kimiko Gelman', 'Nelson Ascencio', 'Brooke Bundy', 'Dayo Okeniyi', 'Leven Rambin', 'Jack Quaid', 'Latarsha Rose', 'Ian Nelson', 'Kalia Prescott', 'Ethan Jamieson', 'Jacqueline Emerson', 'Mackenzie Lintz', 'Imanol Yepez-Frias', 'Annie Thurman', 'Dakota Hood', 'Amber Chaney', 'Karan Kendrick', 'Shane Bissell', 'Kate Kneeland', 'Steve Coulter', 'Sharon Conley', 'Tim Taylor', 'John Ross', 'Phillip Troy Linger', 'Julie Ivey', 'Mark Meekins', 'Jeremy Marinas', 'Bill Bennett']"
The Killer,8,2023,true,2023-11-12,USA,Netflix,English,"['Thriller', 'Crime']",David Fincher,"['Michael Fassbender', 'Tilda Swinton', 'Charles Parnell', 'Arliss Howard', ""Kerry O'Malley"", 'Sophie Charlotte', 'Emiliano Pernia', 'Gabriel Polanco', 'Sala Baker', 'Endre Hules', 'Bernard Bygott', 'Monique Ganderton', 'Daran Norris', 'Nikki Dixon', 'Paloma Palacio Colon', 'Lía Lockhart', 'Arturo Duvergé', 'Génesis Estévez', 'Leroy Edwards III', 'Kellan Rhude', 'Sacha Beaubier', 'Branden Mitch', 'Brandon Morales', 'Kyrstal Ortiz', 'Erik Hellman', 'Carlos Rogelio Diaz', 'Ilyssa Fradin', 'Julia Rowley', 'Jack Kesy', 'Eric Tolzmann', 'Jirus Tillman', 'Kev Morris Sr.', 'Brett C. Johnson', 'Tariq Azikiue', 'Jérôme Keen', 'Stéphane Vasseur', 'François Patissier', 'Dzianis Chpoutalau', 'Cécile Coves', 'Claire Patronikn', 'Lila Espinasse', 'Sara Mezouar', 'Zacharia Mezouar', 'Marie Bessière', 'Nino Viard', 'Antoine Matichard', 'Anna Cosmao', 'Alexandra Holzhammer']"
Sound of Metal,6,2019,false,2023-10-17,USA,Flat 7,English,"['Music', 'Drama']",Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff', 'Mathieu Amalric', 'Domenico Toledo', 'Chelsea Lee', 'Shaheem Sanchez', 'Chris Perfetti', 'Bill Thorpe', 'Michael Tow', 'William Xifaras', 'Rena Maliszewski', 'Tom Kemp', 'Elan Sicroff', 'Jeremy Lee Stone', 'Ezra Marder', 'Hartmut Teuber', 'Hillary Baack', 'Joe Toledo', 'Adam Preston', 'Jonathon LeJeune', 'Sean Powell', 'Dani Miller', 'Alex Kilgore', 'Jamie Ghazarian', 'David Arthur Sousa', 'Marisa Defranco', 'Alan Resnic', ""Thomas O'Brien Vallor""]"
The Creator,6,2023,false,2023-09-28,Canada,New Regency Pictures,English,"['Action', 'Science Fiction', 'Adventure']",Gareth Edwards,"['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann', 'Ralph Ineson', 'Michael Esper', 'Veronica Ngo', 'Ian Verdun', 'Daniel Ray Rodriguez', 'Rad Pereira', 'Syd Skidmore', 'Karen Aldridge', 'Teerawat Mulvilai', 'Leanna Chea', 'Sahatchai Chumrum', 'Apiwantana Duenkhao', 'Mariam Khummaung', 'Natthaphong Chaiyawong', 'Tawee Teesura', 'Kulsiri Thongrung', 'Charlie McElveen', 'Chananticha Chaipa', 'Sawanee Utoomma', 'Monthatip Suksopha', 'Brett Bartholomew', 'Jeb Kreager', 'Mackenzie Lansing', 'Stephen Howard Thomas', 'Agneta Catarina Békassy de Békas', 'Brett Parks', 'Phaithoon Wanglomklang', 'Ron Weaver', 'Mav Kang', 'John Garrett Mahlmeister', 'Scott Thomas', 'Kandanai Chotikapracal', 'Niko Rusakov', 'James David Henry', ""Eoin O'Brien"", 'Dana Blouin', 'Anjana Ghogar', 'Pongsanart Vinsiri', 'Molywon Phantarak', 'Chalee Sankhavesa', 'Pat Skelton', 'Elliot Berk', 'Art Ybarra']"
Nocturnal Animals,7,2016,false,2023-09-27,China,Fade to Black,English,"['Drama', 'Thriller']",Tom Ford,"['Amy Adams', 'Jake Gyllenhaal', 'Michael Shannon', 'Aaron Taylor-Johnson', 'Isla Fisher', 'Ellie Bamber', 'Armie Hammer', 'Karl Glusman', 'Robert Aramayo', 'Laura Linney', 'Andrea Riseborough', 'Michael Sheen', 'Bobbi Salvör Menuez', 'Imogen Waterhouse', 'Franco Vega', 'Zawe Ashton', 'Evie Pree', 'Beth Ditto', 'Graham Beckel', 'Neil Jackson', 'Jena Malone', 'Lee Benton', 'Kristin Bauer', 'Sydney Schafer', 'Evan Bittencourt', 'Janet Song', 'Michele Dunn', 'Lori Jean Wilson', 'Peggy Fields Richardson', 'Piper Major', 'Moose Ali Khan', 'Brianna Barnes', 'Amanda Fields', 'Joshua D. Eads', 'Jonathan Fredrick', 'Alizee Gaillard', 'Nick Hounslow', 'Kerstin Lechner', 'Carson Nicely', 'Christopher Pinkalla', 'Tonia Marie Rosée', 'Errol Sack', 'Brian Stivale', 'Chelsea Taylor', 'Jack Wallace', 'Jackie Zane', 'Maria Zyrianova']"
Rascals,9,2022,true,2023-09-20,France,Agat Films & Cie / Ex Nihilo,French,"['Thriller', 'Action', 'Drama']",Jimmy Laporal-Trésor,"['Jonathan Feltre', 'Missoum Slimani', 'Jonathan Eap', 'Marvin Dubart', 'Taddeo Kufus', 'Emerick Mamilonne', 'Angelina Woreth', 'Victor Meutelet', 'Mylène Wagram', 'Mark Grozy', 'Pierre Cevaer', 'Guillaume Marquet', 'Théo Cholbi', 'Kevin Moulin', 'Faustine Koziel']"
Junkyard Dog,7,2023,true,2023-09-14,France,Insolence Productions,French,"['Romance', 'Comedy', 'Drama']",Jean-Baptiste Durand,"['Anthony Bajon', 'Raphaël Quenard', 'Galatéa Bellugi', 'Dominique Reymond', 'Bernard Blancan', 'Nathan Le Graciet', 'Mélanie Martinez', 'Mike Reilles', 'Mathieu Amilien', 'Evelina Pitti', 'Kader Bouallaga', 'Marysole Fertard', 'Abdelkader Bouallaga']"
Sentinelle,3,2023,false,2023-09-08,France,22h22,French,"['Action', 'Comedy', 'Crime']",Hugo Benamozig,"['Jonathan Cohen', 'Raphaël Quenard', 'Emmanuelle Bercot', 'Gustave Kervern', 'Ramzy Bedia', 'Laurent Evuort', 'Ken Eind', 'Joseph Woerlen', 'Matthieu Virginius', 'Dimitri Virginius', 'Carlitto Benzini', 'Luca Besse', 'Hugo Dillon', 'Jessy Salomée Ugolin', 'Abdoulaye Gago', 'Yann Papin', 'Francis Convert', 'Thierry René', 'Michel Barre', 'Hervé Rakotofiringa', 'Julien Buchy', 'Alex Gador', 'Lucie Grondin', 'Yolène Gontrand', 'Émilie Mayaram', 'David Caviglioli', 'Alexia Genty', 'Jeffrey Fontaine', 'Marie-Claude Dena Carlot', 'Jean-Pierre Boujard', 'Jean-Pierre Boucher', 'Alexandre Fallourd', 'Valentin Joly', 'Roxane De Robillard', 'Michel Pham', 'Louzolo Mahonga-Morillon', 'Victor Euphrasie', 'Audrey Dorval', 'Karen Brun', 'Yves Tolita', 'Catherine Singla', 'Dan Bourgogne', 'Jacques Deshayes', 'Sébastien Sery', 'Jonathan Vicard', 'Jérôme Vaccari', 'Karito Putet', 'Yolène Monjole', 'Laure Le Rouzic', 'Aymerick Moucouveia', 'Idrisse Ahamada Madi', 'Issam Aboudou', 'Édouard Galador', 'Chloé Clain', 'Sarah Plumeau', 'Boris Parvedy', 'Olivier Araste', 'Joanes Marceline Araste', 'Laurianne Marceline', 'Jean-Aldo Araste', 'Jimmy Itema', 'Jean-Pascal Mariama Moutin', 'Idriss Lahimandro', 'Sophie Natiembé', 'Frédéric Dessains', 'Sébastien Lagniez', 'Jérémy Lagniez', 'Marie Bouvet', 'Raimundo Ferreira Querido', 'Arthur Delapierre', 'Bryan Vigier', 'Samuel Mpondo Moutome', 'Eddy Benguedih']"
Another Round,8,2020,true,2023-09-03,Denmark,Zentropa Entertainments,Danish,"['Drama', 'Comedy']",Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe', 'Maria Bonnevie', 'Helene Reingaard Neumann', 'Susse Wold', 'Magnus Sjørup', 'Silas Cornelius Van', 'Albert Rudbeck Lindhardt', 'Martin Greis-Rosenthal', 'Frederik Winther Rasmussen', 'Aksel Vedsegaard', 'Aya Grann', 'Gustav Sigurth Jeppesen', 'Freja Bella Lindahl', 'Mercedes Claro Schelin', 'Cassius Aasav Browning', 'Maria Ovi', 'Clara Phillipson', 'Oskar Kirk Damsgaard', 'Niels Jørgensen', 'Le Münster Swendsen', 'Michael Asmussen', 'Christina Hildebrandt', 'Thomas Guldberg Madsen', 'Per Otto Bersang Rasmussen', 'Dorte Højsted', 'Morten Jørgensen', 'Morten Thunbo', 'Basse J. Dam', 'Max Kaysen Høyrup', 'Waldemar Beer Hansen', 'Matti Rochler', 'Milas Hansen', 'Carl David Schubert Holm-Nielsen']"
American Beauty,9,1999,true,2023-09-02,USA,DreamWorks Pictures,English,['Drama'],Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Peter Gallagher', 'Allison Janney', 'Chris Cooper', 'Scott Bakula', 'Sam Robards', 'Barry Del Sherman', 'Ara Celi', 'John Cho', 'Fort Atkinson', 'Sue Casey', 'Kent Faulcon', 'Brenda Wehle', 'Lisa Cloud', 'Alison Faulk', 'Krista Goodsitt', 'Lily Houtkin', 'Carolina Lancaster', 'Mona Leah', 'Chekesha Van Putten', 'Emily Zachary', 'Nancy Anderson', 'Reshma Gajjar', 'Stephanie Rizzo', 'Heather Joy Sher', 'Chelsea Hertford', 'Amber Smith', 'Joel McCrary', 'Marissa Jaret Winokur', 'Dennis Anderson', 'Matthew Kimbrough', 'Erin Cathryn Strubbe', 'Thomas J. Armstrong', 'Bruce Cohen', 'Elaine Corral Kendall', 'James Hunter', 'Spencer Kayden', 'Tom Miller']"
Shame,8,2011,true,2023-09-01,Canada,HanWay Films,English,['Drama'],Steve McQueen,"['Michael Fassbender', 'Carey Mulligan', 'James Badge Dale', 'Nicole Beharie', 'Lucy Walters', 'Mari-Ange Ramirez', 'Alex Manette', 'Hannah Ware', 'Elizabeth Masucci', 'Rachel Farrar', 'Loren Omer', 'Lauren Tyrrell', 'Marta Milans', 'Jake Siciliano', 'Robert Montano', 'Charisse Bellante', 'Amy Hargreaves', 'Anna Rose Hopkins', 'Chazz Menendez', 'Carl Low', 'Calamity Chang', 'Deedee Luxe', 'Stanley Mathis', 'Wenne Alton Davis']"
Maniac,6,2012,false,2023-08-31,France,La Petite Reine,English,"['Horror', 'Thriller']",Franck Khalfoun,"['Elijah Wood', 'Nora Arnezeder', 'America Olivo', 'Zoe Aggeliki', 'Jan Broberg', 'Joshua De La Garza', 'Dan Hunter', 'Genevieve Alexandra', 'Liane Balaban', 'Megan Duffy', 'Luis Fernandez-Gil', 'Aaron Colom', 'Akbar Kurtha', 'Sal Landi', 'Délé Ogundiran', 'Bryan Lugo', 'Ron Reznik', 'Devra Korwin', 'Steffinnie Phrommany', 'Mike McCarty', 'Brian Ames', 'Patrick Orr', 'Mic Rodgers', 'Sammi Rotibi', 'Rochelle Rudolph', 'Lauren Emily Vaughan', 'Steven James Williams']"
The Night of the 12th,6,2022,false,2023-08-28,Belgium,Haut et Court,French,"['Drama', 'Crime', 'Mystery']",Dominik Moll,"['Bastien Bouillon', 'Bouli Lanners', 'Anouk Grinberg', 'Mouna Soualem', 'Pauline Serieys', 'Théo Cholbi', 'Johann Dionnet', 'Thibaut Évrard', 'Julien Frison', 'Paul Jeanson', 'Benjamin Blanchy', 'Pierre Lottin', 'Camille Rutherford', 'David Murgia', 'Sylvain Baumann', 'Lula Cotton-Frapier', 'Charline Paul', 'Matthieu Rozé', 'Baptiste Perais', 'Jules Porier', 'Nathanaël Beausivoir', 'Nicolas Jouhet', 'Marc Bodnar', 'Marie Bonifassy', 'Albane Brun', 'Emma Martina', 'Fabien Ardiri', 'Véronique Orelle', 'Julie Hustache', 'Sonia Bouteiller', 'Valérie Enquin', 'Nabila Attmane', 'Martine Lacomblez', 'Yvan Forestier', 'Edith Pancher', 'Alexandre Ionescu', 'Charlène Villquin', 'Yannis Renaudin', 'Christophe Merieau', 'Thierry Verrier', 'Fanny de Gouville', 'Romane Kasprzak', 'Jessica Garreau Cotenceau']"
Snowpiercer,7,2013,false,2023-08-28,Czechia,CJ Entertainment,Korean,"['Drama', 'Science Fiction', 'Action']",Bong Joon-ho,"['Chris Evans', 'Song Kang-ho', 'John Hurt', 'Tilda Swinton', 'Jamie Bell', 'Octavia Spencer', 'Ed Harris', 'Ewen Bremner', 'Go A-sung', 'Alison Pill', 'Luke Pasqualino', 'Vlad Ivanov', 'Adnan Hasković', 'Emma Levie', 'Steve Park', 'Clark Middleton', 'Marcanthonee Reis', 'Paul Lazar', 'Tómas Lemarquis', 'Kenny Doughty', 'Robert Russell', 'Magda Weigertová', 'Jim High', 'Peter Hallin', 'Haruna Honcoop', 'Ana Braun', 'Griffin Seymour', 'Tyler John Williams', 'Luna Sophia Bar-Cohen', 'Sean Connor Renwick', 'Karel Veselý', 'Park Sungtaek', 'Brian Foley', 'Kendrick Roger Ong', 'Seisuke Tsukahara', 'Tomáš Dianiška', 'Miroslav Navrátil', 'Huh Chan', 'Lucie Burianová', 'Jonny Loquasto', 'Parry Shen', 'Eunkyung Song', 'Dana Green', 'Joseph Bertót']"
Deerskin,7,2019,true,2023-08-26,Belgium,Atelier de Production,French,"['Comedy', 'Horror']",Quentin Dupieux,"['Jean Dujardin', 'Adèle Haenel', 'Albert Delpy', 'Coralie Russier', 'Pierre Gommé', 'Laurent Nicolas', 'Caroline Piette', 'Stéphane Jobert', 'Marie Bunel', 'Panayotis Pascot', 'Youssef Hajdi', 'Simon Thomas', 'Tom Hudson', 'Maryne Cayon', 'Thomas Blanchard', 'Rio Vega', 'Maxim Driesen', 'David Sztanke', 'Julia Faure', 'Bruno Mary', 'Jérôme Menard', 'Franck Lebreton', 'Ayouba Ali', 'Géraldine Schitter']"
Anatomy of a Fall,7,2023,false,2023-08-23,France,Les Films de Pierre,French,"['Mystery', 'Crime', 'Thriller']",Justine Triet,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner', 'Antoine Reinartz', 'Samuel Theis', 'Jehnny Beth', 'Saadia Bentaïeb', 'Camille Rutherford', 'Anne Rotger', 'Sophie Fillières', 'Julien Comte', 'Pierre-François Garel', 'Savannah Rol', 'Iliès Kadri', 'Vincent Courcelle-Labrousse', 'Cécile Brunet-Ludet', 'Nesrine Slaoui', 'Antoine Bueno', 'Anne-Lise Heimburger', 'Wajdi Mouawad', 'Sacha Wolff', 'Kareen Guiock', 'Arthur Harari', 'Marie Brette', 'Christophe Devaux', 'Jefferson Desport', 'Nola Jolly', 'Emmanuelle Jourdan', 'Isaac Abballah', 'Judicaël Ajorque', 'Nicholas Angelo', 'Marie-Laure Aumis', 'Laura Balasuriya', 'Alexandre Bertrand', 'Jean-Pierre Bertrand', 'Cécilia Bongiovanni-Lefebvre', 'Jean-Claude Calbet', 'Florent Chasseloup', 'Sandrine Chastagnol', 'Betty Desmier', 'Justine Dulary', 'Philippe Jubien', 'Cyril Karenine', 'Maud Martin', 'Romaric Maucoeur', 'Fabien Perrot', 'Christophe Léon Schelstraete', 'Rose Thibault']"
